Name
Mike Trout
Mookie Betts
Fernando Tatis Jr.
Alex Bregman
Juan Soto
Cody Bellinger
Anthony Rendon
Ronald Acuna Jr.
Corey Seager
Jose Ramirez
Francisco Lindor
Matt Chapman
Manny Machado
Freddie Freeman
Yasmani Grandal
Christian Yelich
Aaron Judge
Xander Bogaerts
Rafael Devers
Nolan Arenado
Trea Turner
Carlos Correa
George Springer
DJ LeMahieu
Bryce Harper
Bo Bichette
Trevor Story
Gleyber Torres
J.T. Realmuto
Ozzie Albies
Trent Grisham
Yordan Alvarez
Eloy Jimenez
Jeff McNeil
Josh Donaldson
Ketel Marte
Kris Bryant
Jose Altuve
Anthony Rizzo
Michael Conforto
Luis Robert
Vladimir Guerrero Jr.
Paul DeJong
Marcus Semien
Byron Buxton
Matt Olson
Max Kepler
Yoan Moncada
Justin Turner
Andrelton Simmons
Alec Bohm
Marcell Ozuna
Ke'Bryan Hayes
Kyle Tucker
Aaron Hicks
Ramon Laureano
Brandon Lowe
Pete Alonso
J.P. Crawford
Eugenio Suarez
Paul Goldschmidt
Christian Vazquez
Michael Brantley
Rhys Hoskins
Cavan Biggio
Adalberto Mondesi
Tommy Pham
Brian Anderson
Willy Adames
Sean Murphy
Ian Happ
Alex Verdugo
Nick Madrigal
Salvador Perez
Buster Posey
Kyle Seager
Luis Arraez
Giancarlo Stanton
Starling Marte
Travis d'Arnaud
Javier Baez
Joey Gallo
J.D. Martinez
Tim Anderson
Randy Arozarena
Didi Gregorius
Mike Moustakas
David Fletcher
Jorge Polanco
Brandon Nimmo
Joc Pederson
Jean Segura
Max Muncy
Mark Canha
Danny Jansen
Willson Contreras
Kyle Schwarber
Giovanny Urshela
Austin Nola
Miguel Rojas
Jeimer Candelario
Max Stassi
Jose Iglesias
Harrison Bader
Luke Voit
Dansby Swanson
Brandon Belt
Jesse Winker
Cesar Hernandez
Carson Kelly
Austin Riley
J.D. Davis
Lorenzo Cain
Roberto Perez
Dylan Carlson
Jose Abreu
Will Smith
Ryan Jeffers
Tommy La Stella
Kolten Wong
Carlos Santana
Gary Sanchez
Eddie Rosario
Kyle Lewis
Nico Hoerner
Whit Merrifield
Kevin Kiermaier
Yadier Molina
Austin Hays
Mitch Haniger
Willi Castro
Shohei Ohtani
Jacob Stallings
Nelson Cruz
Yandy Diaz
Franmil Reyes
Joey Votto
Anthony Santander
Amed Rosario
Elvis Andrus
Andrew Benintendi
Chris Taylor
Miguel Sano
Manuel Margot
Lourdes Gurriel Jr.
Adam Eaton
Keston Hiura
Mike Yastrzemski
Nate Lowe
Jorge Soler
Nick Ahmed
Austin Meadows
Jake Cronenworth
Gavin Lux
Adam Frazier
Ryan Mountcastle
Andrew McCutchen
Mitch Garver
Bryan Reynolds
Jason Heyward
Jonathan Schoop
Justin Upton
Wilson Ramos
Trey Mancini
Nick Solak
Tommy Edman
Luis Urias
Enrique Hernandez
Rio Ruiz
Ji-Man Choi
Victor Robles
Austin Barnes
Orlando Arcia
Tucker Barnhart
Eduardo Escobar
Brandon Crawford
Jesus Aguilar
Robbie Grossman
Mike Zunino
Alex Dickerson
Stephen Piscotty
Hunter Dozier
Nick Senzel
Evan Longoria
Josh Naylor
James McCann
Charlie Blackmon
Yuli Gurriel
Clint Frazier
Andres Gimenez
Myles Straw
Tom Murphy
David Peralta
Jared Walsh
Martin Maldonado
Wil Myers
Jason Castro
Joey Wendle
A.J. Pollock
Carter Kieboom
Austin Hedges
Daulton Varsho
Jurickson Profar
Manny Pina
Ha-seong Kim
Donovan Solano
Alejandro Kirk
Victor Caratini
Tyler O'Neill
Yoshitomo Tsutsugo
Maikel Franco
Corey Dickerson
Dominic Smith
Jackie Bradley Jr.
Jon Berti
Ty France
Christian Walker
Alex Avila
Shogo Akiyama
Nicky Lopez
Yan Gomes
Chad Pinder
Josh Bell
Tony Kemp
Rowdy Tellez
Mauricio Dubon
Bobby Dalbec
Alexander Kirilloff
Franchy Cordero
Travis Shaw
Nicholas Castellanos
Randal Grichuk
Evan White
Brett Gardner
Shed Long
Kyle Higashioka
Hunter Renfroe
Dylan Moore
Adam Duvall
Wilmer Flores
Jordan Luplow
Tyler Stephenson
Freddy Galvis
Teoscar Hernandez
Omar Narvaez
Brendan Rodgers
Kole Calhoun
Nomar Mazara
Luis Torrens
D.J. Stewart
Jonah Heim
Yasiel Puig
Eric Hosmer
Miguel Cabrera
Renato Nunez
Tyler Flowers
Marwin Gonzalez
Kevin Newman
Oscar Mercado
Ryan McMahon
Andrew Knizner
Starlin Castro
Victor Reyes
Christian Arroyo
David Bote
Kurt Suzuki
C.J. Cron
Jarred Kelenic
Curt Casali
Matt Carpenter
Francisco Mejia
Wander Franco
Adam Haseley
Kevin Plawecki
Hanser Alberto
Chad Wallach
Cole Tucker
Austin Slater
Mike Brosseau
Colin Moran
Jonathan Villar
Isan Diaz
Garrett Cooper
Pedro Severino
Cam Gallagher
Josh Rojas
Aledmys Diaz
Jake Bauers
Isiah Kiner-Falefa
Dom Nunez
Jedd Gyorko
Reese McGuire
Daniel Robertson
Kevin Pillar
Yusniel Diaz
Yolmer Sanchez
Michael Perez
Daniel Vogelbach
Vimael Machin
Jorge Alfaro
Jarren Duran
Asdrubal Cabrera
Austin Romine
Rylan Bannon
Jose Trevino
Alex Jackson
Cedric Mullins II
