"PlayerName","Team","POS","ADP","IP","mW","mERA","mWHIP","mK9","mQS","mSVHLD","PTS","aPOS","Dollars"
"Jacob deGrom","NYM","SP","5.6","201","$1.6","$3.6","$3.4","$2.1","$1.6","($0.7)","$11.5","$1.8","$15.1"
"Shane Bieber","CLE","SP","9.8","195","$1.3","$1.5","$2.0","$0.7","$1.4","($0.7)","$6.1","$1.8","$9.1"
"Gerrit Cole","NYY","SP","7.0","201","$1.4","$0.3","$1.9","$1.3","$1.4","($0.7)","$5.5","$1.8","$8.5"
"Yu Darvish","SDP","SP","17.9","189","$1.4","$1.1","$1.5","$0.6","$1.3","($0.7)","$5.1","$1.8","$8.1"
"Max Scherzer","WSN","SP","27.8","179","$1.2","$0.3","$1.5","$1.0","$1.1","($0.7)","$4.4","$1.8","$7.3"
"Carlos Carrasco","NYM","SP","61.6","174","$1.1","$0.8","$0.9","$0.0","$1.1","($0.7)","$3.3","$1.8","$6.0"
"Dinelson Lamet","SDP","SP","91.4","137","$0.8","$0.6","$0.7","$1.0","$0.8","($0.7)","$3.1","$1.8","$5.8"
"Blake Snell","SDP","SP","42.3","151","$1.0","$1.1","$0.3","$0.3","$0.9","($0.7)","$2.9","$1.8","$5.6"
"Edwin Diaz","NYM","RP","74.9","63","($0.3)","$1.1","$0.8","$1.2","($0.4)","$1.2","$3.5","$1.8","$5.3"
"Walker Buehler","LAD","SP","19.5","172","$1.2","$0.3","$0.8","($0.2)","$1.1","($0.7)","$2.4","$1.8","$5.1"
"Tyler Glasnow","TBR","SP","47.2","163","$0.8","$0.2","$0.3","$0.8","$1.0","($0.7)","$2.3","$1.8","$5.0"
"Josh Hader","MIL","RP","58.8","66","($0.3)","$0.7","$0.7","$1.4","($0.4)","$0.7","$2.8","$1.8","$4.7"
"Luis Castillo","CIN","SP","27.6","187","$1.2","$0.3","($0.2)","$0.1","$1.2","($0.7)","$1.9","$1.8","$4.5"
"Brandon Woodruff","MIL","SP","31.9","185","$1.1","$0.2","$0.4","($0.3)","$1.2","($0.7)","$1.8","$1.8","$4.4"
"Trevor Bauer","LAD","SP","14.4","195","$1.4","($0.4)","$0.3","($0.1)","$1.3","($0.7)","$1.7","$1.8","$4.4"
